ID_FloraAlpina;ID_Family;Family;ID_Genus;Genus;ID_Species;Species;ID_Subspecies;Subspecies;Longevity;BiologicalForm;Endemic;Indigenous;Distribution;CompleteName;Phenology_Jan;Phenology_Feb;Phenology_Mar;Phenology_Apr;Phenology_May;Phenology_Jun;Phenology_Jul;Phenology_Aug;Phenology_Sep;Phenology_Oct;Phenology_Nov;Phenology_Dec;Collinaire;Montane;Subalpine;Alpine;Nival;A_B;A_K;A_N;A_NT;A_O;A_OT;A_S;A_ST;A_V;CH_AP;CH_BE;CH_FR;CH_GL;CH_GR;CH_LU;CH_SG;CH_SZ;CH_TI;CH_UR;CH_UW;CH_VD;CH_VS;D_OB;D_SW;F_04;F_05;F_06;F_26;F_38;F_73;F_74;F_83;F_84;FL;I_AO;I_BG;I_BL;I_BS;I_BZ;I_CN;I_CO;I_IM;I_NO;I_PN;I_SO;I_SV;I_TN;I_TO;I_TV;I_UD;I_VA;I_VC;I_VI;I_VR;SLO;Phytosociology;Habitat;Ca;Ca/Si;Si;VeryDry;Dry;Average;Wet;Aquatic;w;f1;f2;f3;f4;f5;f6;f7;f8;f9
124.55.1;124;Asteraceae               ;55;Berardia;1;subacaulis;;;v;G;Y;Y;W-Alp.;Berardia subacaulis Vill.;;;;;;;x;x;;;;;0;1;2;2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;(Thlaspion rotundifolii);(3.1), 3.3, (6.5.1);2;2;0;1;2;1;0;0;0;4;0;0;2;0;0;0;0;0
124.69.1;124;Asteraceae               ;69;Crupina;1;vulgaris;;;a;T;N;Y;S-Eur./W-Asiat.;Crupina vulgaris Cass.;;;;;x;x;x;x;;;;;2;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;+;+;+;+;+;-;+;+;-;+;-;-;-;-;+;-;+;;-;-;;+;+;-;-;-;;+;+;;(Thero-Brachypodietea);(2.1.2, 2.2), 6.1, 6.2, 7.3;2;2;2;2;1;0;0;0;0;4;2;0;2;1;0;0;0;0
124.65.2;124;Asteraceae               ;65;Serratula;2;nudicaulis;;;v;H;N;Y;SW-Eur.-Mont.;Serratula nudicaulis (L.) DC.;;;;;;x;x;;;;;;1;2;1;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;+;+;+;-;-;-;-;-;-;+;-;;;-;-;;-;;-;-;-;;-;-;-;(Ononidetalia);(3.2, 3.3), 6.2;2;0;0;1;2;1;0;0;0;4;2;0;0;0;0;0;0;0
124.65.1.1;124;Asteraceae               ;65;Serratula;1;tinctoria;1;tinctoria;v;H;N;Y;Eurosib.;Serratula tinctoria L. subsp. tinctoria;;;;;;;x;x;x;x;;;2;2;0;0;0;+;+;+;+;+;-;+;+;+;-;D;-;;+;-;+;;+;+;-;+;+;+;+;+;+;+;;+;+;+;+;;+;+;;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;(Molinion);2.6, 5.1, 6.3.2, 7.4.2, (9.1.1, 9.2.3), 9.2.4, 9.3;2;2;1;0;0;1;2;0;1;4;2;0;2;1;0;0;0;0
124.65.1.2;124;Asteraceae               ;65;Serratula;1;tinctoria;2;monticola;v;H;N;Y;S-Eur.-Mont.;Serratula tinctoria subsp. monticola (Boreau) Berher;;;;;;;x;x;x;x;;;0;2;2;1;0;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;+;+;-;-;+;+;;;;+;+;;;+;-;;+;+;-;;+;+;;+;;+;+;;+;+;;;-;+;+;(Caricion ferrugineae);(5.1, 5.2), 6.5.1, (7.1), 8.2;2;2;1;0;1;2;1;0;0;2;4;2;1;2;1;0;0;0
124.65.3;124;Asteraceae               ;65;Serratula;3;lycopifolia;;;v;H;N;Y;E-Eur.;Serratula lycopifolia (Vill.) A. Kern.;;;;;;x;x;;;;;;2;2;0;0;0;-;-;D;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;+;+;;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;(Geranion sanguinei);6.2, 6.3, 6.7, 7.4.2;2;1;0;1;2;1;0;0;1;4;2;0;2;1;0;0;0;0
124.40.19.2;124;Asteraceae               ;40;Artemisia;19;campestris;2;alpina;v;C;Y;Y;Alp.;Artemisia campestris subsp. alpina (DC.) Arcang.;;;;;;;;x;x;x;;;0;1;2;2;0;-;;-;+;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;;+;+;;+;+;-;-;-;;+;;-;-;?;;;;;;-;;-;+;-;;;;-;-;-;(Festuco-Brometea?);(3.2), 6.2, (6.5.1, 7.4.2);1;2;2;2;1;0;0;0;0;2;1;0;4;2;0;2;1;0
124.48.6.1;124;Asteraceae               ;48;Senecio;6;germanicus;1;germanicus;v;H;N;Y;E-Eur.;Senecio germanicus Wallr. subsp. germanicus;;;;;;;x;x;x;;;;2;1;0;0;0;+;+;+;+;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;(Epilobietea angustifolii);2.6, 4.2, 6.7, 9.2.3;2;2;2;0;0;1;2;0;0;0;1;2;0;2;4;0;1;2
124.48.6.2;124;Asteraceae               ;48;Senecio;6;germanicus;2;glabratus;v;H;N;Y;E-Alp./Illyr.;Senecio germanicus subsp. glabratus Herborg;;;;;;;x;x;x;;;;1;2;1;0;0;-;+;-;+;-;+;;-;+;-;-;-;-;;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;-;-;-;+;-;-;+;-;;+;-;-;-;;;(Adenostylion);2.4, 2.6, 4.2, 6.7, 9.1.2?;2;2;2;0;0;1;2;0;0;0;1;2;0;2;4;0;1;2
124.48.7;124;Asteraceae               ;48;Senecio;7;hercynicus;;;v;H;N;Y;Eur.-Mont.;Senecio hercynicus Herborg;;;;;;;x;x;x;;;;0;2;2;0;0;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;+;+;+;-;+;-;-;-;+;-;+;-;;-;;-;+;;-;Calamagrostietalia villosae;(2.4), 2.6, 6.7, 9.1.2, 9.2.3, 9.2.5;2;2;2;0;0;1;2;0;0;0;1;2;0;2;4;0;1;2
