ID_FloraAlpina;ID_Family;Family;ID_Genus;Genus;ID_Species;Species;ID_Subspecies;Subspecies;Longevity;BiologicalForm;Endemic;Indigenous;Distribution;CompleteName;Phenology_Jan;Phenology_Feb;Phenology_Mar;Phenology_Apr;Phenology_May;Phenology_Jun;Phenology_Jul;Phenology_Aug;Phenology_Sep;Phenology_Oct;Phenology_Nov;Phenology_Dec;Collinaire;Montane;Subalpine;Alpine;Nival;A_B;A_K;A_N;A_NT;A_O;A_OT;A_S;A_ST;A_V;CH_AP;CH_BE;CH_FR;CH_GL;CH_GR;CH_LU;CH_SG;CH_SZ;CH_TI;CH_UR;CH_UW;CH_VD;CH_VS;D_OB;D_SW;F_04;F_05;F_06;F_26;F_38;F_73;F_74;F_83;F_84;FL;I_AO;I_BG;I_BL;I_BS;I_BZ;I_CN;I_CO;I_IM;I_NO;I_PN;I_SO;I_SV;I_TN;I_TO;I_TV;I_UD;I_VA;I_VC;I_VI;I_VR;SLO;Phytosociology;Habitat;Ca;Ca/Si;Si;VeryDry;Dry;Average;Wet;Aquatic;w;f1;f2;f3;f4;f5;f6;f7;f8;f9
124.39.8.1;124;Asteraceae               ;39;Leucanthemum;8;atratum;1;atratum;v;H;Y;Y;E-Alp.;Leucanthemum atratum (Jacq.) DC. subsp. atratum;;;;;x;x;x;x;x;;;;1;1;2;2;0;-;-;+;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;(Seslerietalia variae);(2.5), 3.2, 3.3, 6.5.1, 6.6;2;0;0;0;1;2;1;0;0;4;2;0;0;0;0;0;0;0
124.39.8.4;124;Asteraceae               ;39;Leucanthemum;8;atratum;4;ceratophylloides;v;H;N;Y;W-Alp./Apen.;Leucanthemum atratum subsp. ceratophylloides (All.) Horvatic_';;;;;;;x;x;x;;;;0;1;2;2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;;-;-;-;;-;-;-;-;-;-;-;+;-;+;-;-;-;+;-;;-;-;-;-;-;-;-;(Thlaspietalia rotundifolii);(2.5, 3.2), 3.3, 6.5.1;2;1;1;0;1;2;1;0;0;4;2;0;2;1;0;0;0;0
124.39.8.3;124;Asteraceae               ;39;Leucanthemum;8;atratum;3;coronopifolium;v;H;Y;Y;W-Alp.;Leucanthemum atratum subsp. coronopifolium (Vill.) Horvatic_';;;;;;;x;x;x;;;;0;1;2;2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;;;+;-;;;-;-;-;-;-;-;+;-;;-;-;-;;-;+;-;-;-;-;-;-;-;(Thlaspietalia rotundifolii);2.5, 3.2, 3.3, 4.2, 6.5.1, (8.2), 9.1.2;1;2;2;0;1;2;1;0;0;2;1;0;4;2;0;2;1;0
124.39.8.2;124;Asteraceae               ;39;Leucanthemum;8;atratum;2;halleri;v;H;Y;Y;E-Alp.;Leucanthemum atratum subsp. halleri (Vitman) Heywood;;;;;;;x;x;x;;;;0;1;1;2;0;-;+;-;+;+;-;+;+;+;;+;-;+;+;+;+;+;+;+;+;-;+;+;+;-;-;-;-;-;-;;-;-;+;-;;;;-;-;;-;;;-;-;-;-;-;;;-;+;-;-;(Thlaspion rotundifolii);(2.5), 3.3, (6.5.1);2;0;0;0;1;2;1;0;0;4;2;0;0;0;0;0;0;0
124.39.8.6;124;Asteraceae               ;39;Leucanthemum;8;atratum;6;lithopolitanicum;v;H;Y;Y;E-Alp.;Leucanthemum atratum subsp. lithopolitanicum (E. Mayer) Horvatic_';;;;;;;x;x;;;;;0;0;2;2;0;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;(Seslerietalia variae);(2.5, 3.2), 3.3, 6.5.1;2;0;0;0;1;2;1;0;0;4;2;0;0;0;0;0;0;0
124.39.7;124;Asteraceae               ;39;Leucanthemum;7;burnatii;;;v;H;Y;Y;W-Alp.;Leucanthemum burnatii Briq. & Cavill.;;;;;x;x;x;;;;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;(Ononidetalia);3.2, 6.2, (7.1);2;0;0;2;1;0;0;0;0;4;2;0;0;0;0;0;0;0
124.39.9;124;Asteraceae               ;39;Leucanthemum;9;discoideum;;;v;H;S;Y;W-Alp.;Leucanthemum discoideum (All.) Willk.;;;;;;x;x;x;;;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;-;+;-;-;-;-;;-;-;-;-;-;-;-;+;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;(Origanetalia vulgaris);(2.1, 2.2), 2.6, (3.2), 6.7, 7.4.2, (9.2.4), 9.3;2;1;1;1;2;1;0;0;0;2;4;2;1;2;1;0;0;0
124.39.3;124;Asteraceae               ;39;Leucanthemum;3;heterophyllum;;;v;H;N;Y;S-Alp./Apen.;Leucanthemum heterophyllum (Willd.) DC.;;;;;;x;x;x;x;;;;1;2;2;0;0;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;;-;;;;-;-;;-;-;+;+;+;+;+;+;+;;+;+;+;;+;;+;+;+;+;+;+;;(Seslerion variae);6.2, 6.3.1, 6.5.1, (6.7, 7.1, 7.2, 7.4.2, 9.1.2);2;0;0;0;1;2;1;0;0;2;4;2;1;2;1;0;0;0
124.39.4;124;Asteraceae               ;39;Leucanthemum;4;cuneifolium;;;v;H;;Y;?;Leucanthemum cuneifolium H. J. Coste;;;;;x;x;x;x;;;;;1;2;2;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;;;-;-;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;(Seslerietalia variae);6.2, 6.5.1, (6.7, 7.2, 7.4.2), 9.1.1, (9.1.2, 9.2.3);2;2;1;0;1;2;1;0;0;4;2;0;2;1;0;0;0;0
124.39.5;124;Asteraceae               ;39;Leucanthemum;5;pallens;;;v;H;N;Y;Medit.;Leucanthemum pallens (J. Gay) DC.;;;;;x;x;x;;;;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;;-;-;+;-;-;-;-;-;-;-;;;+;-;+;-;;-;;-;+;-;;-;-;-;(Rosmarinetalia);(2.1.2, 2.2, 2.6), 6.2, 7.3, 9.3;2;1;0;2;1;0;0;0;0;4;2;0;2;1;0;0;0;0
124.39.6;124;Asteraceae               ;39;Leucanthemum;6;subglaucum;;;v;H;N;Y;SW-Eur.;Leucanthemum subglaucum De Laramb.;;;;;x;x;;;;;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;-;-;-;;;-;-;-;-;-;-;-;-;;-;-;-;+;-;-;-;-;-;-;-;-;-;(Quercion pubescenti-sessiliflorae?);(6.2), 6.7, 7.4.2, 9.3;2;2;2;2;1;0;0;0;0;2;1;0;4;2;0;2;1;0
124.39.1;124;Asteraceae               ;39;Leucanthemum;1;vulgare;;;v;H;N;Y;Eurasiat.;Leucanthemum vulgare aggr.;;;;;x;x;x;x;x;x;;;2;2;2;1;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;(Arrhenatheretalia elatioris);2.1, 2.2, (2.5.2, 2.6, 2.7, 2.8, 3.3, 3.5), 6.2, 6.3.1, (6.3.2, 6.4, 6.7, 7.1, 7.2, 7.4.2);2;2;2;0;1;2;1;0;0;1;2;1;2;4;2;1;2;1
124.35.6;124;Asteraceae               ;35;Tanacetum;6;balsamita;;;v;H;N;N;SW-Asiat.;Tanacetum balsamita L.;;;;;;x;x;x;x;;;;2;0;0;0;0;-;-;-;-;-;-;-;;-;;-;;;;;;;;;;;;-;-;-;+;-;;;-;-;-;-;-;-;;-;+;+;;;;;-;-;;;;;-;;;-;;-; - [Artemisietea vulgaris];"(2.2, 2.7, 7.4.2); 2.9";2;2;2;0;1;2;1;0;0;1;2;1;2;4;2;1;2;1
124.35.5;124;Asteraceae               ;35;Tanacetum;5;cinerariifolium;;;v;H, C;N;N;SE-Eur.;Tanacetum cinerariifolium (Trevir.) Sch. Bip.;;;;;x;x;x;;;;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;;;-;-;-;;-;-;;-;-;-;;;;;-;-;;-;;;-;;;-;-;-; - [Asplenietea trichomanis?];"2.2, 3.2; (2.9.1)";2;1;0;2;1;0;0;0;0;0;0;4;0;0;2;0;0;0
124.35.2.1;124;Asteraceae               ;35;Tanacetum;2;corymbosum;1;corymbosum;v;H;N;Y;Eur.;Tanacetum corymbosum (L.) Sch. Bip. subsp. corymbosum;;;;;;x;x;x;;;;;2;2;0;0;0;+;+;+;+;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;-;+;;;+;+;+;;+;+;+;+;+;;+;;+;+;+;+;;+;(Quercetalia pubescenti-sessiliflorae);2.6, (6.2), 6.7, 7.4.2, 9.1.1, 9.2.3, (9.2.4), 9.3;2;1;0;1;2;1;0;0;0;4;2;0;2;1;0;0;0;0
124.35.2.2;124;Asteraceae               ;35;Tanacetum;2;corymbosum;2;clusii;v;H;N;Y;SE-Eur.-Mont.;Tanacetum corymbosum subsp. clusii (Rchb.) Heywood;;;;;;x;x;x;;;;;0;2;2;0;0;-;+;+;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;+;+;?;;;;;;;;+;;+;+;;;+;;+;(Aremonio-Fagion);6.3.1, 6.7, (8.2), 9.1.2, 9.2.3;2;1;1;0;1;2;1;0;0;4;2;0;2;1;0;0;0;0
124.35.4;124;Asteraceae               ;35;Tanacetum;4;macrophyllum;;;v;H;N;N;SE-Eur.;Tanacetum macrophyllum (Waldst. & Kit.) Sch. Bip.;;;;;;x;x;x;;;;;1;2;0;0;0;-;+;-;-;-;-;-;-;-;;-;;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+; - [Atropetalia bella-donae];"2.6, (2.7), 7.2, 7.4.2, 9.2.3; (2.9.2)";2;2;2;0;1;2;1;0;0;0;1;2;0;2;4;0;1;2
124.35.3;124;Asteraceae               ;35;Tanacetum;3;parthenium;;;v;H;N;N;SE-Eur./SW-Asiat.;Tanacetum parthenium (L.) Sch. Bip.;;;;;;x;x;x;x;;;;2;2;0;0;0;+;+;+;+;+;+;+;+;+;;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;-;;+;+;+;+;+;+;+;+;;+;-;+;;;+;+;+;;+;+;+;+; - [Arction lappae];"(2.1), 2.2, (2.5, 2.7, 3.2), 7.4.2; 2.9";2;2;2;0;1;2;1;0;0;0;1;2;0;2;4;0;1;2
124.35.1;124;Asteraceae               ;35;Tanacetum;1;vulgare;;;v;H;N;;Eurasiat.;Tanacetum vulgare L.;;;;;;x;x;x;x;;;;2;2;1;0;0;+;+;+;+;+;+;+;+;+;-;+;-;-;+;+;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;;+;+;+;;+;;+;+;+;+;+;+;+;(Onopordetalia acanthii);(2.1.2), 2.2, 2.5.2, 2.6, (3.2, 3.3, 6.3.1), 7.4.2, (9.2.2);2;2;2;1;2;1;0;0;0;1;2;1;2;4;2;1;2;1
124.37.1;124;Asteraceae               ;37;Leucanthemopsis;1;alpina;;;v;H;N;Y;S-Eur.-Mont.;Leucanthemopsis alpina (L.) Heywood;;;;;;;x;x;;;;;0;1;1;2;1;-;+;-;+;-;+;+;+;+;;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;-;-;+;+;+;+;+;+;+;+;;+;;+;-;+;+;-;+;;+;-;-;-;(Caricetalia curvulae);2.5, 3.2, 3.3, 6.5, 6.6, (7.1);0;1;2;0;1;2;1;0;0;0;0;0;2;1;0;4;2;0
124.36.1;124;Asteraceae               ;36;Leucanthemella;1;serotina;;;v;H;N;N;E-Eur.;Leucanthemella serotina (L.) Tzvelev;;;;;;;;;x;x;;;2;0;0;0;0;-;-;-;+;-;-;-;-;+;;;-;;;;;;;;;;;-;;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - [Phragmitetalia communis];"(1.3, 2.2, 2.5.1); 2.9.2";2;2;1;0;0;1;2;1;1;2;4;2;1;2;1;0;0;0
124.38.1;124;Asteraceae               ;38;Coleostephus;1;myconis;;;a;T;N;N;Medit.;Coleostephus myconis (L.) Rchb. f.;;;;x;x;x;x;;;;;;2;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;;-;;-;;-;-;;;-;+;-;-;-;(Stellarienea mediae);2.1, 2.2;0;1;2;2;1;0;0;0;0;0;0;0;1;2;1;2;4;2
124.40.7;124;Asteraceae               ;40;Artemisia;7;abrotanum;;;v, t;C;N;N;?;Artemisia abrotanum L.;;;;;;;x;x;x;x;;;2;0;0;0;0;-;+;-;-;-;-;-;-;-;;-;-;;;;;;+;;;;+;-;-;;+;-;;+;-;-;-;-;-;-;;-;+;+;;;;+;-;-;;-;;-;-;;;-;-;; - [Artemisietea vulgaris];"2.2, 2.7; 2.9.1";2;2;2;1;2;1;0;0;0;1;2;1;2;4;2;1;2;1
124.40.3;124;Asteraceae               ;40;Artemisia;3;absinthium;;;v, t;(H), C;N;Y;Eurasiat.;Artemisia absinthium L.;;;;;;;x;x;x;;;;2;2;2;0;0;+;+;+;+;+;+;+;+;+;-;+;-;+;+;-;+;-;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;(Onopordetalia acanthii);"(2.1), 2.2, (2.5.2, 2.6, 3.2, 3.3), 6.2, (7.4.2, 9.2.2); 2.9.1";2;2;2;1;2;1;0;0;0;0;2;4;0;1;2;0;0;0
124.40.4;124;Asteraceae               ;40;Artemisia;4;alba;;;v, t;C;N;Y;Medit.;Artemisia alba Turra;;;;;;;;x;x;x;;;2;2;1;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;+;+;+;-;?;+;+;+;+;+;+;+;;+;-;+;+;+;+;+;;;+;+;-;(Ononidetalia);(2.1, 2.2), 3.2, 3.3, 6.2;2;1;0;2;1;0;0;0;0;4;2;0;2;1;0;0;0;0
124.40.17;124;Asteraceae               ;40;Artemisia;17;annua;;;a;T;N;N;E-Eur./Asiat.;Artemisia annua L.;;;;;;;;x;x;x;;;2;0;0;0;0;-;+;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;;+;-;+;-;;;+;+;+;+;+;+;;-;+;-;;-;+;+;;-;;+;-;+;-;(Sisymbrietalia);"(2.1), 2.2, 2.5.2; (2.9.1)";2;2;2;0;1;2;1;0;0;0;0;2;0;0;4;0;0;2
124.40.6;124;Asteraceae               ;40;Artemisia;6;atrata;;;v, t;H, C;Y;Y;Alp.;Artemisia atrata Lam.;;;;;;;x;x;;;;;0;0;2;2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;+;-;-;-;-;?;-;-;-;-;+;-;-;-;;-;-;D;+;-;+;-;-;-;-;+;(Seslerion variae);(3.2, 3.3), 6.5.1;2;2;0;1;2;1;0;0;0;4;2;0;2;1;0;0;0;0
124.40.20;124;Asteraceae               ;40;Artemisia;20;borealis;;;v;H, C;N;Y;Arct.-Alp.;Artemisia borealis Pall.;;;;;;;x;x;x;;;;0;1;2;2;0;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;;-;-;-;+;-;-;-;+;-;;+;+;;-;-;-;+;-;-;-;+;;-;-;+;-;-;-;-;+;-;-;-;;-;-;-;(Thlaspietea rotundifolii);(3.2), 3.3, (6.5, 7.1);2;2;2;1;2;1;0;0;0;2;1;0;4;2;0;2;1;0
124.40.19.1;124;Asteraceae               ;40;Artemisia;19;campestris;1;campestris;v;C;N;Y;Eurasiat.;Artemisia campestris L. subsp. campestris;;;;;;;x;x;x;;;;2;2;1;0;0;+;+;+;+;-;+;+;+;-;-;-;-;-;+;-;+;-;+;-;-;+;+;-;-;+;+;+;;+;+;+;+;+;+;+;;+;+;+;+;;;+;;+;;+;+;+;;+;+;+;+;+;(Festuco-Brometea);(2.1.2), 2.2, (2.5.2, 3.2, 3.3), 6.2;2;2;2;2;1;0;0;0;0;4;2;0;2;1;0;0;0;0
124.40.9;124;Asteraceae               ;40;Artemisia;9;chamaemelifolia;;;v, t;C;N;Y;W-Alp./Pyr.;Artemisia chamaemelifolia Vill.;;;;;;;x;x;;;;;1;2;2;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;(Stipo-Poenion perconcinnae);(3.2, 3.3), 6.2;2;2;2;2;1;0;0;0;0;2;1;0;4;2;0;2;1;0
124.40.18;124;Asteraceae               ;40;Artemisia;18;dracunculus;;;v;H;N;N;Asiat./N-Am.;Artemisia dracunculus L.;;;;;;;;x;x;;;;2;2;1;0;0;-;-;-;-;-;-;-;-;-;;+;-;;;;;;;;;;;-;-;-;;-;;;-;-;-;-;;-;;-;-;-;;;;;-;;;-;;-;-;;;-;-;; - [Artemisietea vulgaris];"(2.2, 2.5.2); 2.9.1";2;2;2;0;1;2;1;0;1;0;1;2;0;2;4;0;1;2
124.40.12;124;Asteraceae               ;40;Artemisia;12;eriantha;;;v;C;N;Y;S-Eur.-Mont.;Artemisia eriantha Ten.;;;;;;x;x;x;;;;;0;0;2;2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;;+;+;-;-;-;-;-;-;-;-;-;+;-;;-;-;-;;-;+;-;-;-;-;-;-;-;(Saxifragenion pedemontanae);3.2, (3.3);1;1;2;1;2;1;0;0;0;0;0;0;2;1;0;4;2;0
124.40.13;124;Asteraceae               ;40;Artemisia;13;genipi;;;v;C;Y;Y;Alp.;Artemisia genipi Weber;;;;;;;x;x;x;;;;0;0;2;2;1;-;+;-;+;-;+;+;+;+;-;+;-;+;+;-;+;-;+;+;+;+;+;-;-;+;+;+;;+;+;+;-;-;-;+;+;+;+;+;+;+;-;+;-;+;-;+;+;-;+;;+;-;-;+;(Drabion hoppeanae);(2.5), 3.2, 3.3, 6.5;2;2;2;1;2;1;0;0;0;2;1;0;4;2;0;2;1;0
124.40.15;124;Asteraceae               ;40;Artemisia;15;glacialis;;;v;C;Y;Y;W-Alp.;Artemisia glacialis L.;;;;;;;x;x;;;;;0;0;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;+;+;;;+;-;-;-;-;+;-;-;-;-;+;-;-;+;-;-;-;-;+;-;-;-;+;-;-;-;(Asplenietea trichomanis);3.2, 3.3, (6.5);2;2;2;1;2;1;0;0;0;2;1;0;4;2;0;2;1;0
124.40.11;124;Asteraceae               ;40;Artemisia;11;nitida;;;v;(H), C;N;Y;E-Alp./Apen.;Artemisia nitida Bertol.;;;;;;;;x;x;;;;0;2;2;1;0;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;;-;-;-;-;-;+;-;-;+;-;-;-;-;+;(Potentillion caulescentis);3.2, 6.5;2;1;0;1;2;1;0;0;0;4;2;0;0;0;0;0;0;0
124.40.16;124;Asteraceae               ;40;Artemisia;16;pedemontana;;;v;C;N;Y;S-Eur.;Artemisia pedemontana Balb.;;;;;x;x;x;x;x;;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;(Rosmarinetea);3.2, 3.3, 6.2;2;1;0;2;1;0;0;0;0;4;2;0;0;0;0;0;0;0
124.40.8;124;Asteraceae               ;40;Artemisia;8;pontica;;;v;H;N;Y;SE-Eur.;Artemisia pontica L.;;;;;;;;x;x;x;;;2;0;0;0;0;-;+;+;-;-;-;-;-;-;;-;-;;;;;;;;;;;-;-;-;-;-;-;;-;-;-;-;-;-;;-;-;-;;-;-;;-;-;-;-;;-;-;-;;-;-;;(Festuco-Brometea);"(2.1), 2.2, (3.2), 6.2, (7.4.2); (2.9.1)";2;2;2;1;2;1;0;0;0;0;1;2;0;2;4;0;1;2
124.40.10;124;Asteraceae               ;40;Artemisia;10;umbelliformis;;;v;C;N;Y;Alp./Apen.;Artemisia umbelliformis Lam.;;;;;;;x;x;x;;;;0;0;1;2;1;-;+;-;+;-;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;-;+;-;+;-;+;+;-;-;;+;-;-;-;(Androsacenion vandellii);3.2, (3.3), 6.5;1;2;2;0;1;2;0;0;0;2;1;0;4;2;0;2;1;0
124.40.5;124;Asteraceae               ;40;Artemisia;5;vallesiaca;;;v;C;Y;Y;W-Alp.;Artemisia vallesiaca All.;;;;;;;;x;x;x;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;;+;-;-;-;-;+;-;-;-;-;-;-;-;;-;-;-;-;;-;-;-;;-;-;-;(Stipo-Poenion perconcinnae);(2.2, 3.2), 6.2;2;1;0;2;1;0;0;0;0;4;2;0;0;0;0;0;0;0
124.40.2;124;Asteraceae               ;40;Artemisia;2;verlotiorum;;;v;G, H;N;N;E-Asiat.;Artemisia verlotiorum Lamotte;;;;;;;;;x;x;x;;2;2;0;0;0;-;+;-;+;-;-;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;;+;+;+;;+;+;+;+;;+;+;+;+;(Artemisietea vulgaris);(2.1), 2.2, (2.5.1, 9.2.2);2;2;2;0;1;2;1;0;0;0;1;2;0;2;4;0;1;2
124.40.1;124;Asteraceae               ;40;Artemisia;1;vulgaris;;;v;H;N;Y;Eurasiat.;Artemisia vulgaris L.;;;;;;;x;x;x;x;;;2;2;1;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;(Artemisietea vulgaris);2.1, 2.2, 2.5, (7.2, 7.5, 9.2.2);2;2;2;0;1;2;1;0;1;0;1;2;0;2;4;0;1;2
124.41.1;124;Asteraceae               ;41;Tussilago;1;farfara;;;v;G;N;Y;Eurasiat.;Tussilago farfara L.;;x;x;x;x;;;;;;;;2;2;2;1;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;(Agropyretea intermedii-repentis);2.1, 2.2, 2.5, 2.6, 3.3, 3.5, (4.2, 6.3.2, 7.5);2;2;2;0;1;2;1;0;1;2;4;2;1;2;1;0;0;0
124.42.1;124;Asteraceae               ;42;Petasites;1;albus;;;v;G;N;Y;Eurasiat.;Petasites albus (L.) Gaertn.;;;x;x;x;;;;;;;;1;2;1;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;(Arunco-Petasition);2.6, 3.3, 4.2, 7.2, 7.4.2, 9.1.2, (9.2.2), 9.2.3, (9.2.4), 9.2.5;2;2;2;0;0;1;2;0;1;0;1;2;0;2;4;0;1;2
124.42.4;124;Asteraceae               ;42;Petasites;4;pyrenaicus;;;v;G;N;N;Medit.;Petasites pyrenaicus (L.) G. López;x;x;x;x;;;;;;;;;2;0;0;0;0;-;-;-;-;-;-;-;-;-;;-;;;;;;;+;;;;;-;-;+;-;-;;;-;-;-;;-;;;-;+;-;;+;;;-;-;;+;;-;-;;+;-;;-;[Galio-Alliarietalia];"1.3, (2.2), 2.3, 2.7, 4.2, (9.2.5); 2.9.2";2;2;2;0;0;1;2;0;0;1;2;1;2;4;2;1;2;1
124.42.2;124;Asteraceae               ;42;Petasites;2;hybridus;;;v;G;N;Y;Eurasiat.;Petasites hybridus (L.) P. Gaertn. & al.;;;x;x;x;;;;;;;;2;2;1;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;(Aegopodion podagrariae);2.5.1, 3.3, 4.2, (6.3.2, 7.2, 7.4.2), 7.5, (9.2.2);2;2;2;0;0;1;2;0;1;0;1;2;0;2;4;0;1;2
124.42.3;124;Asteraceae               ;42;Petasites;3;paradoxus;;;v;G;N;Y;S-Eur.-Mont.;Petasites paradoxus (Retz.) Baumg.;;;x;x;x;;;;;;;;1;1;2;2;0;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;;+;-;+;+;+;-;+;+;+;+;;;+;+;+;(Petasitenion paradoxi);2.5, 3.3, (6.5.1, 7.2, 7.5, 9.1.1, 9.2.2);2;1;0;0;0;1;2;0;1;2;4;2;0;0;0;0;0;0
124.43.1;124;Asteraceae               ;43;Homogyne;1;alpina;;;v;H;N;Y;S-Eur.-Mont.;Homogyne alpina (L.) Cass.;;;;;x;x;x;;;;;;1;1;2;2;1;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;(Piceetalia excelsae);(3.2, 3.3, 3.4, 4.1, 5.1, 6.3.1, 6.4), 6.5, (6.6), 7.1, (7.2, 8.1), 8.2, (9.1.1), 9.1.2;2;2;2;0;1;2;1;0;0;2;1;0;4;2;0;2;1;0
