,missing,Name on tree,,,,Name on original table
211,-39313,Jacobaea_aquatica,,,,
161,-39318,Jacobaea_erucifolia,,,,
162,-39329,Jacobaea_incana,,,,Jacobaea_incana_subsp._carniolica
163,-39328,Jacobaea_incana_subsp._incana,,,,
218,-39302,Jacobaea_subalpina,,,,
164,-41756,Jurinea_mollis,,,,
221,41573,Klasea serratuloides,,,,Klasea_lycopifolia
165,-40197,Lactuca_muralis,,,,
166,-40182,Lactuca_perennis,,,,
167,-40189,Lactuca_serriola,,,,
169,-39858,Lapsana_communis,,,,
171,-40047,Leontodon_crispus,,,,
173,-40038,Leontodon_filii,,,,Leontodon_hirtus
174,-40040,Leontodon_hispidus,,,,
175,-40050,Leontodon_incanus,,,,Leontodon_incanus_subsp._tenuiflorus
176,-36799,Leontopodium_alpinum,,,,Leontopodium_nivale_subsp._alpinum
178,-38797,Leucanthemum_vulgare,,,,Leucanthemum_adustum
184,-38727,Matricaria_discoidea,,,,Matricaria_chamomila
185,-41941,Onopordum_acanthium,,,,Onopordium_acanthium
186,-37208,Pallenis_spinosa,,,,
187,-39634,Petasites_albus,,,,
188,-39635,Petasites_paradoxus,,,,
189,-36938,Phagnalon_saxatile,,,,
190,-40015,Picris_hieracioides,,,,
196,-40368,Pilosella_alpicola,,,,Pilosella_peleteriana
191,-40371,Pilosella_aurantiaca,,,,
193,-40266,Pilosella_caespitosa,,,,Pilosella_glacialis
192,-40365,Pilosella_cymosa,,,,
194,-40376,Pilosella_hoppeana,,,,
136,NA,Pilosella_lactucella,,,,Hieracium_lactucella
195,-40375,Pilosella_officinarum,,,,
197,-40367,Pilosella_piloselloides,,,,
198,-40624,Podospermum_roseum,,,,Podospermum_purpureum
199,-40143,Prenanthes_purpurea,,,,
168,-36406,Pseudognaphalium_luteoalbum,,,,Laphangium_luteoalbum
200,-37196,Pulicaria_dysenterica,,,,
202,-41528,Rhaponticum_heleniifolium,,,,Rhaponticum_heleniifolium_subsp._helenifolium
201,-41527,Rhaponticum_insigne,,,,Rhaponticum_heleniifolium_subsp._bicknellii
203,-41520,Rhaponticum_scariosum,,,,
204,-41641,Saussurea_alpina,,,,
205,-40618,Scorzonera_hispanica,,,,
206,-40612,Scorzonera_humilis,,,,
207,-40609,Scorzonera_laciniata,,,,
170,-40062,Scorzoneroides_autumnalis,,,,
172,-40078,Scorzoneroides_crocea,,,,
208,-40075,Scorzoneroides_montana,,,,
212,-39069,Senecio_doria,,,,
213,-39064,Senecio_doronicum,,,,Senecio_doronicum
215,-38940,Senecio_inaequidens,,,,
216,NA,Senecio_jacksonii,,,,Senecio_ovatus
214,NA,Senecio_parvifolius,,,,Senecio_germanicus
217,-38964,Senecio_rupestris,,,,Senecio_squalidus_subsp._rupestris
219,-38978,Senecio_viscosus,,,,
220,-38974,Senecio_vulgaris,,,,
222,-41586,Serratula_coronata,,,,Serratula_tinctoria
223,-35621,Sigesbeckia_orientalis,,,,
225,-37530,Solidago_decurrens,,,,Solidago_virgaurea_subsp._minuta
224,-37530,Solidago_virgaurea,,,,
226,-40157,Sonchus_oleraceus,,,,
227,-40158,Sonchus_tenerrimus,,,,
228,-41959,Staehelina_dubia,,,,
27,-37482,Symphyotrichum_subulatum,,,,Aster_squamatus
230,-38743,Tanacetum_macrophyllum,,,,
229,-38749,Tanacetum_parthenifolium,,,,Tanacetum_corymbosum
231,-38748,Tanacetum_parthenium,,,,
232,-39982,Taraxacum_officinale,,,,
233,-37261,Telekia_speciosa,,,,
235,-39480,Tephroseris_crispa,,,,Tephroseris_integrifolia_subsp._capitata
234,-39481,Tephroseris_integrifolia_subsp._aucheri,,,,Tephroseris_integrifolia
236,-39479,Tephroseris_koreana,,,,Tephroseris_longifolia_subsp._gaudinii
237,-40492,Tolpis_coronopifolia,,,,Tolpis_staticifolia
238,-40523,Tragopogon_crocifolius,,,,
239,-40514,Tragopogon_dubius,,,,
241,-40525,Tragopogon_porrifolius_subsp._australis,,,,Tragopogon_pratensis_subsp._orientalis
240,-40529,Tragopogon_pratensis,,,,
242,-38783,Tripleurospermum_maritimum_subsp._inodorum,,,,Tripleurospermum_inodorum
243,-39650,Tussilago_farfara,,,,
244,-40125,Urospermum_dalechampii,,,,
245,-40126,Urospermum_picroides,,,,
246,-35860,Xanthium_sibiricum,,,,Xanthium_italicum
247,-41950,Xeranthemum_annuum,,,,
