"","ID_FloraAlpina","SpeciesName","Elevation.in.strict.alpine.arc.from.wild.collection","Flowering.time..initiation.month.","Embryo.Ploidy.summ","Reproductive.mode","Repr_mode_summ","Apomixis_type"
"120","124.68.5.5","Centaurea_scabiosa_subsp._grinensis",417,6,"2x","Sexual","Sexual","Sexual"
"121","124.68.7.0","Centaurea_leucophaea",1233,6,"2x","Sexual","Sexual","Sexual"
"122","124.68.9.0","Centaurea_valesiaca",663,7,"2x","Sexual","Sexual","Sexual"
"123","124.6.9.0","Erigeron_uniflorus",2713,7,"2x","Sexual","Sexual","Apo-diplosporous"
"124","124.7.1.0","Erigeron_canadensis",468,6,"2x","Sexual","Sexual","Apo-diplosporous"
"125","124.7.3.0","Erigeron_bonariensis",604,6,"Poly","Sexual","Sexual","Apo-diplosporous"
"126","124.75.1.0","Catananche_caerulea",1507,7,"2x","Sexual","Sexual","Sexual"
"127","124.80.1.0","Aposeris_foetida",1269,6,"2x","Sexual","Sexual","Sexual"
"128","124.82.1.0","Hypochaeris_maculata",1764.66666666667,5,"2x","Sexual","Sexual","Sexual"
"129","124.82.2.0","Hypochaeris_uniflora",2176.66666666667,7,"2x","Sexual","Sexual","Sexual"
"130","124.82.5.0","Hypochaeris_radicata",328,5,"2x","Sexual","Sexual","Sexual"
"131","124.83.2.0","Scorzoneroides_crocea",1777.5,7,"2x","Sexual","Sexual","Sexual"
"132","124.83.3.1","Scorzoneroides_montana",2386,7,"4x","Sexual","Sexual","Sexual"
"133","124.83.4.0","Scorzoneroides_autumnalis",1950,6,"2x","Sexual","Sexual","Sexual"
"134","124.83.5.0","Leontodon_hispidus",1890,6,"2x","Sexual","Sexual","Sexual"
"135","124.83.7.0","Leontodon_crispus",1772,5,"2x","Sexual","Sexual","Sexual"
"136","124.83.8.2","Leontodon_tenuiflorus",618,4,"2x","Sexual","Sexual","Sexual"
"137","124.84.2.1","Picris_hieracioides",885,6,"2x","Apomictic","Mixed","Uncertain"
"138","124.85.6.0","Scorzonera_humilis",978,5,"2x","Sexual","Sexual","Sexual"
"139","124.86.3.0","Tragopogon_dubius",919,5,"2x","Sexual","Sexual","Sexual"
"140","124.86.4.0","Tragopogon_pratensis",1906.75,5,"2x","Sexual","Sexual","Sexual"
"141","124.89.3.0","Lactuca_serriola",758.5,7,"4x","Sexual","Sexual","Sexual"
"142","124.89.7.0","Lactuca_perennis",1852,5,"2x","Sexual","Sexual","Sexual"
"143","124.90.1.0","Lactuca_alpina",1537.5,6,"2x","Sexual","Sexual","Sexual"
"144","124.91.1.0","Prenanthes_purpurea",1289,7,"2x","Sexual","Sexual","Sexual"
"145","124.92.1.0","Lactuca_muralis",1510.5,7,"2x","Sexual","Sexual","Sexual"
"146","124.93.15.0","Taraxacum_officinale",1602,4,"3x","Apomictic","Apomictic","Diplosporous"
"147","124.94.1.0","Chondrilla_juncea",600,6,"3x","Apomictic","Apomictic","Diplosporous"
"148","124.97.10.0","Crepis_conyzifolia",2003,6,"2x","Sexual","Sexual","Aposporous"
"149","124.97.1.0","Crepis_paludosa",1262.5,6,"2x","Sexual","Sexual","Aposporous"
"150","124.97.11.0","Crepis_pyrenaica",1906,6,"2x","Sexual","Sexual","Aposporous"
"151","124.97.19.0","Crepis_tectorum",324,5,"2x","Sexual","Sexual","Aposporous"
"152","124.97.2.0","Crepis_pygmaea",2576.5,7,"2x","Sexual","Sexual","Aposporous"
"153","124.97.24.0","Crepis_capillaris",423,6,"2x","Sexual","Sexual","Aposporous"
"154","124.97.27.1","Crepis_vesicaria",1063,5,"2x","Apomictic","Mixed","Aposporous"
"155","124.97.3.0","Crepis_terglouensis",2270,7,"2x","Sexual","Sexual","Aposporous"
"156","124.97.6.0","Crepis_rhaetica",2788,7,"2x","Sexual","Sexual","Aposporous"
"157","124.97.7.0","Crepis_aurea",2601,6,"2x","Sexual","Sexual","Aposporous"
"158","124.97.9.0","Crepis_pontana",2087,6,"2x","Sexual","Sexual","Aposporous"
"159","124.99.10.0","Pilosella_piloselloides",243,5,"4x","Sexual","Sexual","Aposporous"
"160","124.99.1.0","Tolpis_staticifolia",1831,6,"2x","Sexual","Sexual","Sexual"
"161","124.99.16.0","Hieracium_murorum",1747.5,5,"3x","Apomictic","Apomictic","Diplosporous"
"162","124.99.18.0","Hieracium_bifidum",348,6,"3x","Apomictic","Apomictic","Diplosporous"
"163","124.99.2.0","Pilosella_hoppeana",2149,5,"2x","Sexual","Sexual","Aposporous"
"164","124.99.23.0","Hieracium_lawsonii",2560,6,"3x","Apomictic","Apomictic","Diplosporous"
"165","124.99.24.0","Hieracium_villosum",1880.66666666667,7,"3x","Apomictic","Apomictic","Diplosporous"
"166","124.99.26.0","Hieracium_piliferum",1940.5,7,"3x","Apomictic","Apomictic","Diplosporous"
"167","124.99.28.0","Hieracium_tomentosum",1421,5,"3x","Apomictic","Apomictic","Diplosporous"
"168","124.99.29.0","Hieracium_alpinum",2036,7,"3x","Apomictic","Apomictic","Diplosporous"
"169","124.99.30.0","Hieracium_humile",1514,6,"3x","Apomictic","Apomictic","Diplosporous"
"170","124.99.3.0","Pilosella_peleteriana",2044,5,"2x","Sexual","Sexual","Aposporous"
"171","124.99.31.0","Hieracium_amplexicaule",1953.5,5,"3x","Apomictic","Apomictic","Diplosporous"
"172","124.99.32.0","Schlagintweitia_intybacea",2383,7,"2x","Sexual","Sexual","Sexual"
"173","124.99.37.0","Hieracium_prenanthoides",1380,6,"2x","Sexual","Sexual","Diplosporous"
"174","124.99.4.0","Pilosella_officinarum",997,5,"4x","Apomictic","Apomictic","Aposporous"
"175","124.99.7.0","Pilosella_lactucella",2184,5,"2x","Sexual","Sexual","Aposporous"
"176","124.99.8.0","Pilosella_glacialis",2119,7,"2x","Sexual","Sexual","Aposporous"
"177","124.99","Hieracium_cydoniifolium",1847,7,"3x","Apomictic","Apomictic","Diplosporous"
"178","124.99","Hieracium_froelichianum",1985,7,"3x","Apomictic","Apomictic","Diplosporous"
"179","124.99","Hieracium_glaucopsis",1890,7,"3x","Apomictic","Apomictic","Diplosporous"
"180","124.99","Hieracium_valdepilosum",1954,7,"3x","Apomictic","Apomictic","Diplosporous"
"181","124.99","Schlagintweitia_huteri_subsp._lantoscana",2354,7,"2x","Sexual","Sexual","Sexual"
